Timestamp,Command,Position_mm,Speed_mm/s
2025-05-05 21:07:10.175668,PDO_FEEDBACK_20,30.7,21.2
2025-05-05 21:07:10.425575,PDO_FEEDBACK_20,25.4,21.4
2025-05-05 21:07:10.675401,PDO_FEEDBACK_20,20.0,22.6
2025-05-05 21:07:10.925332,PDO_FEEDBACK_20,15.0,21.5
2025-05-05 21:07:11.175249,PDO_FEEDBACK_20,9.6,22.3
2025-05-05 21:07:11.425143,PDO_FEEDBACK_20,4.3,20.9
2025-05-05 21:07:11.675050,PDO_FEEDBACK_20,0.3,14.6
2025-05-05 21:07:11.924915,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:12.174830,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:12.424745,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:12.674672,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:12.924575,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:13.174448,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:13.424373,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:13.674275,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:13.924189,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:14.174074,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:14.423986,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:14.673892,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:14.923809,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:15.173693,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:15.423773,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:15.673602,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:15.923723,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:16.173396,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:16.423320,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:16.673176,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:16.923061,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:17.173015,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:17.422923,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:17.672836,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:07:17.922718,PDO_FEEDBACK_20,0.0,0.0
