time_sec,command,y,vx,vy,pdo_position_mm_22,pdo_speed_mms_22,pdo_position_mm_24,pdo_speed_mms_24,pdo_position_mm_26,pdo_speed_mms_26
0.038,SDO_COMMAND,0.000,0.000,0.000,,,,,,
0.240,SDO_COMMAND,0.000,0.000,0.000,,,,,,
0.442,SDO_COMMAND,0.000,0.000,0.000,,,,,,
0.644,NMT_START_22,0.000,0.000,0.000,,,,,,
0.746,NMT_START_24,0.000,0.000,0.000,,,,,,
0.848,NMT_START_26,0.000,0.000,0.000,,,,,,
0.951,CLEAR_ERROR,0.000,0.000,0.000,,,,,,
1.153,CLEAR_ERROR,0.000,0.000,0.000,,,,,,
1.355,CLEAR_ERROR,0.000,0.000,0.000,,,,,,
1.616,PDO_FEEDBACK_26,0.0,0.0,0.0,,,,,0.0,0.0
1.650,PDO_FEEDBACK_22,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1.680,OPEN_22,0.000,-0.008,-0.004,0.0,0.0,,,0.0,0.0
1.715,PDO_FEEDBACK_24,0.0,-0.008,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
1.756,PDO_FEEDBACK_26,0.0,-0.008,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
1.783,PDO_FEEDBACK_22,0.0,-0.008,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
1.814,PDO_FEEDBACK_24,0.0,-0.008,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
1.863,PDO_FEEDBACK_26,0.0,-0.008,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
1.895,OPEN_26,0.000,-0.008,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
1.910,PDO_FEEDBACK_22,0.0,-0.008,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
1.940,PDO_FEEDBACK_24,0.0,-0.008,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
2.012,PDO_FEEDBACK_26,0.0,-0.008,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
2.066,PDO_FEEDBACK_22,0.0,-0.008,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
2.123,PDO_FEEDBACK_22,0.0,-0.002,0.007,0.0,0.0,0.0,0.0,0.0,0.0
2.163,PDO_FEEDBACK_24,-0.000999999999999994,-0.002,0.007,0.0,0.0,0.0,0.0,0.0,0.0
2.203,PDO_FEEDBACK_26,-0.000999999999999994,-0.002,0.007,0.0,0.0,0.0,0.0,0.0,0.0
2.242,PDO_FEEDBACK_22,-0.000999999999999994,-0.002,0.007,0.0,0.0,0.0,0.0,0.0,0.0
2.262,PDO_FEEDBACK_24,-0.000999999999999994,-0.002,0.007,0.0,0.0,0.0,0.0,0.0,0.0
