time_sec,command,y,vx,vy,pdo_position_mm_22,pdo_speed_mms_22,pdo_position_mm_24,pdo_speed_mms_24,pdo_position_mm_26,pdo_speed_mms_26
0.052,SDO_COMMAND,0.000,0.000,0.000,,,,,,
0.255,SDO_COMMAND,0.000,0.000,0.000,,,,,,
0.458,SDO_COMMAND,0.000,0.000,0.000,,,,,,
0.661,NMT_START_22,0.000,0.000,0.000,,,,,,
0.763,NMT_START_24,0.000,0.000,0.000,,,,,,
0.865,NMT_START_26,0.000,0.000,0.000,,,,,,
0.968,CLEAR_ERROR,0.000,0.000,0.000,,,,,,
1.171,CLEAR_ERROR,0.000,0.000,0.000,,,,,,
1.373,CLEAR_ERROR,0.000,0.000,0.000,,,,,,
1.632,PDO_FEEDBACK_26,0.0,0.0,0.0,,,,,0.0,0.0
1.670,PDO_FEEDBACK_24,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
1.701,PDO_FEEDBACK_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.714,OPEN_22,0.000,-0.013,0.020,0.0,0.0,0.0,0.0,0.0,0.0
1.754,PDO_FEEDBACK_26,0.0,-0.013000000000000001,0.02,0.0,0.0,0.0,0.0,0.0,0.0
1.782,PDO_FEEDBACK_24,0.0,-0.013000000000000001,0.02,0.0,0.0,0.0,0.0,0.0,0.0
1.807,PDO_FEEDBACK_22,0.0,-0.013000000000000001,0.02,0.0,0.0,0.0,0.0,0.0,0.0
1.867,PDO_FEEDBACK_26,0.0,-0.013000000000000001,0.02,0.0,0.0,0.0,0.0,0.0,0.0
1.883,PDO_FEEDBACK_24,0.0,-0.013000000000000001,0.02,0.0,0.0,0.0,0.0,0.0,0.0
1.900,PDO_FEEDBACK_22,0.0,-0.013000000000000001,0.02,0.0,0.0,0.0,0.0,0.0,0.0
1.917,OPEN_26,0.000,-0.013,0.020,0.0,0.0,0.0,0.0,0.0,0.0
1.946,PDO_FEEDBACK_26,0.0,-0.013000000000000001,0.02,0.0,0.0,0.0,0.0,0.0,0.0
1.960,PDO_FEEDBACK_26,0.0,-0.013000000000000001,0.02,0.0,0.0,0.0,0.0,0.0,0.0
1.972,PDO_FEEDBACK_24,0.0,-0.013000000000000001,0.02,0.0,0.0,0.0,0.0,0.0,0.0
2.040,PDO_FEEDBACK_22,0.0,-0.013000000000000001,0.02,0.0,0.0,0.0,0.0,0.0,0.0
2.095,PDO_FEEDBACK_26,0.0,-0.013000000000000001,0.02,0.0,0.0,0.0,0.0,0.0,0.0
2.117,PDO_FEEDBACK_24,0.0,-0.013000000000000001,0.02,0.0,0.0,0.0,0.0,0.0,0.0
2.199,PDO_FEEDBACK_22,-0.0015000000000000013,0.004,0.012,0.0,0.0,0.0,0.0,0.0,0.0
2.282,PDO_FEEDBACK_26,-0.0015000000000000013,0.004,0.012,0.0,0.0,0.0,0.0,0.0,0.0
2.303,PDO_FEEDBACK_24,-0.0015000000000000013,0.004,0.012,0.0,0.0,0.0,0.0,0.0,0.0
2.327,PDO_FEEDBACK_22,-0.0015000000000000013,0.004,0.012,2.3,14.8,0.0,0.0,0.0,0.0
2.364,PDO_FEEDBACK_26,-0.0015000000000000013,0.004,0.012,2.3,14.8,0.0,0.0,1.3,11.3
2.413,PDO_FEEDBACK_24,-0.0015000000000000013,0.004,0.012,2.3,14.8,0.0,0.0,1.3,11.3
2.482,PDO_FEEDBACK_22,-0.0015000000000000013,0.004,0.012,6.8,19.3,0.0,0.0,1.3,11.3
2.616,PDO_FEEDBACK_26,-0.0013000000000000234,-0.002,0.012,6.8,19.3,0.0,0.0,5.8,19.1
2.672,PDO_FEEDBACK_24,-0.0013000000000000234,-0.002,0.012,6.8,19.3,0.0,0.0,5.8,19.1
2.718,PDO_FEEDBACK_22,-0.0013000000000000234,-0.002,0.012,11.9,19.8,0.0,0.0,5.8,19.1
2.869,PDO_FEEDBACK_26,-0.0013000000000000234,-0.002,0.012,11.9,19.8,0.0,0.0,10.7,20.4
2.916,PDO_FEEDBACK_24,-0.0013000000000000234,0.027,0.01,11.9,19.8,0.0,0.0,10.7,20.4
2.972,PDO_FEEDBACK_22,-0.0012000000000000344,0.027,0.01,16.7,18.7,0.0,0.0,10.7,20.4
3.122,PDO_FEEDBACK_26,-0.0012000000000000344,0.027,0.01,16.7,18.7,0.0,0.0,15.5,18.9
3.165,PDO_FEEDBACK_24,-0.0012000000000000344,0.027,0.01,16.7,18.7,0.0,0.0,15.5,18.9
3.217,PDO_FEEDBACK_22,-0.0012000000000000344,0.027,0.01,21.1,18.1,0.0,0.0,15.5,18.9
3.366,PDO_FEEDBACK_26,-0.0020999999999999908,-0.015,-0.005,21.1,18.1,0.0,0.0,20.0,17.6
3.415,PDO_FEEDBACK_24,-0.0020999999999999908,-0.015,-0.005,21.1,18.1,0.0,0.0,20.0,17.6
3.465,PDO_FEEDBACK_22,-0.0020999999999999908,-0.015,-0.005,25.6,17.1,0.0,0.0,20.0,17.6
3.613,PDO_FEEDBACK_26,-0.0020999999999999908,-0.015,-0.005,25.6,17.1,0.0,0.0,24.4,17.5
3.661,PDO_FEEDBACK_24,-0.0020999999999999908,-0.015,-0.005,25.6,17.1,0.0,0.0,24.4,17.5
3.725,PDO_FEEDBACK_22,-0.0020999999999999908,0.016,-0.002,29.9,16.6,0.0,0.0,24.4,17.5
3.863,PDO_FEEDBACK_26,-0.0008000000000000229,0.016,-0.002,29.9,16.6,0.0,0.0,28.7,16.7
3.913,PDO_FEEDBACK_24,-0.0008000000000000229,0.016,-0.002,29.9,16.6,0.0,0.0,28.7,16.7
3.963,PDO_FEEDBACK_22,-0.0008000000000000229,0.016,-0.002,34.2,16.6,0.0,0.0,28.7,16.7
4.118,PDO_FEEDBACK_26,-0.0008000000000000229,-0.002,-0.008,34.2,16.6,0.0,0.0,33.2,17.0
4.176,PDO_FEEDBACK_24,-0.0011000000000000454,-0.002,-0.008,34.2,16.6,0.0,0.0,33.2,17.0
4.216,PDO_FEEDBACK_22,-0.0011000000000000454,-0.002,-0.008,38.6,18.0,0.0,0.0,33.2,17.0
4.382,PDO_FEEDBACK_26,-0.0011000000000000454,-0.002,-0.008,38.6,18.0,0.0,0.0,37.5,17.6
4.411,PDO_FEEDBACK_24,-0.0011000000000000454,-0.002,-0.008,38.6,18.0,0.0,0.0,37.5,17.6
4.466,PDO_FEEDBACK_22,-0.0011000000000000454,-0.002,-0.008,42.9,17.5,0.0,0.0,37.5,17.6
4.618,PDO_FEEDBACK_26,-0.0005000000000000004,0.011,0.002,42.9,17.5,0.0,0.0,41.6,17.8
4.662,PDO_FEEDBACK_24,-0.0005000000000000004,0.011,0.002,42.9,17.5,0.0,0.0,41.6,17.8
4.714,PDO_FEEDBACK_22,-0.0005000000000000004,0.011,0.002,47.2,17.0,0.0,0.0,41.6,17.8
4.867,PDO_FEEDBACK_26,-0.0005000000000000004,0.011,0.002,47.2,17.0,0.0,0.0,45.9,17.1
4.917,PDO_FEEDBACK_24,-0.0005000000000000004,-0.014,0.006,47.2,17.0,0.0,0.0,45.9,17.1
4.964,PDO_FEEDBACK_22,-0.00040000000000001146,-0.014,0.006,51.2,16.6,0.0,0.0,45.9,17.1
5.111,PDO_FEEDBACK_26,-0.00040000000000001146,-0.014,0.006,51.2,16.6,0.0,0.0,50.2,16.3
5.161,PDO_FEEDBACK_24,-0.00040000000000001146,-0.014,0.006,51.2,16.6,0.0,0.0,50.2,16.3
5.222,PDO_FEEDBACK_22,-0.00040000000000001146,-0.014,0.006,55.6,17.6,0.0,0.0,50.2,16.3
5.363,PDO_FEEDBACK_26,-0.0007000000000000339,-0.006,-0.002,55.6,17.6,0.0,0.0,54.5,16.1
5.421,PDO_FEEDBACK_24,-0.0007000000000000339,-0.006,-0.002,55.6,17.6,0.0,0.0,54.5,16.1
5.464,PDO_FEEDBACK_22,-0.0007000000000000339,-0.006,-0.002,59.9,16.7,0.0,0.0,54.5,16.1
5.615,PDO_FEEDBACK_26,-0.0007000000000000339,-0.006,-0.002,59.9,16.7,0.0,0.0,58.9,17.6
5.668,PDO_FEEDBACK_24,-0.0007000000000000339,-0.006,-0.002,59.9,16.7,0.0,0.0,58.9,17.6
5.721,PDO_FEEDBACK_22,-0.0007000000000000339,0.004,-0.002,64.2,16.9,0.0,0.0,58.9,17.6
5.861,PDO_FEEDBACK_26,0.0013999999999999568,0.004,-0.002,64.2,16.9,0.0,0.0,63.2,17.4
5.910,PDO_FEEDBACK_24,0.0013999999999999568,0.004,-0.002,64.2,16.9,0.0,0.0,63.2,17.4
5.964,PDO_FEEDBACK_22,0.0013999999999999568,0.004,-0.002,68.5,17.5,0.0,0.0,63.2,17.4
6.113,PDO_FEEDBACK_26,0.0013999999999999568,0.018000000000000002,-0.015,68.5,17.5,0.0,0.0,67.5,17.7
6.160,PDO_FEEDBACK_24,-0.0029000000000000137,0.018000000000000002,-0.015,68.5,17.5,0.0,0.0,67.5,17.7
6.214,PDO_FEEDBACK_22,-0.0029000000000000137,0.018000000000000002,-0.015,72.8,17.6,0.0,0.0,67.5,17.7
6.360,PDO_FEEDBACK_26,-0.0029000000000000137,0.018000000000000002,-0.015,72.8,17.6,0.0,0.0,71.8,17.2
6.410,PDO_FEEDBACK_24,-0.0029000000000000137,0.018000000000000002,-0.015,72.8,17.6,0.0,0.0,71.8,17.2
6.463,PDO_FEEDBACK_22,-0.0029000000000000137,0.018000000000000002,-0.015,77.1,16.8,0.0,0.0,71.8,17.2
6.613,PDO_FEEDBACK_26,-0.0024000000000000132,-0.002,0.001,77.1,16.8,0.0,0.0,75.9,17.3
6.661,PDO_FEEDBACK_24,-0.0024000000000000132,-0.002,0.001,77.1,16.8,0.0,0.0,75.9,17.3
6.714,PDO_FEEDBACK_22,-0.0024000000000000132,-0.002,0.001,81.4,16.6,0.0,0.0,75.9,17.3
6.860,PDO_FEEDBACK_26,-0.0024000000000000132,-0.002,0.001,81.4,16.6,0.0,0.0,80.2,16.4
6.921,PDO_FEEDBACK_24,-0.0024000000000000132,-0.006,0.013000000000000001,81.4,16.6,0.0,0.0,80.2,16.4
6.964,PDO_FEEDBACK_22,-0.0019000000000000128,-0.006,0.013000000000000001,85.8,17.3,0.0,0.0,80.2,16.4
7.110,PDO_FEEDBACK_26,-0.0019000000000000128,-0.006,0.013000000000000001,85.8,17.3,0.0,0.0,84.5,16.4
7.162,PDO_FEEDBACK_24,-0.0019000000000000128,-0.006,0.013000000000000001,85.8,17.3,0.0,0.0,84.5,16.4
7.214,PDO_FEEDBACK_22,-0.0019000000000000128,-0.006,0.013000000000000001,90.1,17.6,0.0,0.0,84.5,16.4
7.370,PDO_FEEDBACK_26,-0.0024000000000000132,0.01,-0.019,90.1,17.6,0.0,0.0,88.8,17.1
7.410,PDO_FEEDBACK_24,-0.0024000000000000132,0.01,-0.019,90.1,17.6,0.0,0.0,88.8,17.1
7.466,PDO_FEEDBACK_22,-0.0024000000000000132,0.01,-0.019,94.4,17.3,0.0,0.0,88.8,17.1
7.612,PDO_FEEDBACK_26,-0.0024000000000000132,0.01,-0.019,94.4,17.3,0.0,0.0,93.1,18.1
7.663,PDO_FEEDBACK_24,-0.0024000000000000132,0.01,-0.019,94.4,17.3,0.0,0.0,93.1,18.1
7.715,PDO_FEEDBACK_22,-0.0024000000000000132,-0.016,0.002,98.4,16.0,0.0,0.0,93.1,18.1
7.860,PDO_FEEDBACK_26,-0.00040000000000001146,-0.016,0.002,98.4,16.0,0.0,0.0,97.4,17.6
7.910,PDO_FEEDBACK_24,-0.00040000000000001146,-0.016,0.002,98.4,16.0,0.0,0.0,97.4,17.6
7.967,PDO_FEEDBACK_22,-0.00040000000000001146,-0.016,0.002,100.2,0.0,0.0,0.0,97.4,17.6
8.111,PDO_FEEDBACK_26,-0.00040000000000001146,-0.008,0.012,100.2,0.0,0.0,0.0,100.2,0.0
8.163,PDO_FEEDBACK_24,-0.0027000000000000357,-0.008,0.012,100.2,0.0,0.0,0.0,100.2,0.0
8.214,PDO_FEEDBACK_22,-0.0027000000000000357,-0.008,0.012,100.2,0.0,0.0,0.0,100.2,0.0
8.360,PDO_FEEDBACK_26,-0.0027000000000000357,-0.008,0.012,100.2,0.0,0.0,0.0,100.5,0.0
8.410,PDO_FEEDBACK_24,-0.0027000000000000357,-0.008,0.012,100.2,0.0,0.0,0.0,100.5,0.0
8.463,PDO_FEEDBACK_22,-0.0027000000000000357,-0.008,0.012,100.2,0.0,0.0,0.0,100.5,0.0
8.610,PDO_FEEDBACK_26,-0.0019000000000000128,-0.007,-0.003,100.2,0.0,0.0,0.0,100.5,0.0
8.668,PDO_FEEDBACK_24,-0.0019000000000000128,-0.007,-0.003,100.2,0.0,0.0,0.0,100.5,0.0
8.712,PDO_FEEDBACK_22,-0.0019000000000000128,-0.007,-0.003,100.2,0.0,0.0,0.0,100.5,0.0
8.886,PDO_FEEDBACK_26,-0.0019000000000000128,-0.007,-0.003,100.2,0.0,0.0,0.0,100.5,0.0
8.939,PDO_FEEDBACK_24,-0.0009000000000000119,-0.028,0.011,100.2,0.0,0.0,0.0,100.5,0.0
8.962,PDO_FEEDBACK_22,-0.0009000000000000119,-0.028,0.011,100.2,0.0,0.0,0.0,100.5,0.0
9.117,PDO_FEEDBACK_26,-0.0009000000000000119,-0.028,0.011,100.2,0.0,0.0,0.0,100.5,0.0
9.165,PDO_FEEDBACK_24,-0.0009000000000000119,-0.028,0.011,100.2,0.0,0.0,0.0,100.5,0.0
9.220,PDO_FEEDBACK_22,-0.0009000000000000119,-0.028,0.011,100.2,0.0,0.0,0.0,100.5,0.0
9.361,PDO_FEEDBACK_26,-0.0011000000000000454,-0.005,-0.011,100.2,0.0,0.0,0.0,100.5,0.0
9.410,PDO_FEEDBACK_24,-0.0011000000000000454,-0.005,-0.011,100.2,0.0,0.0,0.0,100.5,0.0
9.464,PDO_FEEDBACK_22,-0.0011000000000000454,-0.005,-0.011,100.2,0.0,0.0,0.0,100.5,0.0
9.609,PDO_FEEDBACK_26,-0.0011000000000000454,-0.005,-0.011,100.2,0.0,0.0,0.0,100.5,0.0
9.659,PDO_FEEDBACK_24,-0.0011000000000000454,-0.005,-0.011,100.2,0.0,0.0,0.0,100.5,0.0
