time_sec,command,x,y,vx,vy,raw_can_id,raw_can_data,pdo_position_mm_22,pdo_speed_mms_22,pdo_position_mm_24,pdo_speed_mms_24,pdo_position_mm_26,pdo_speed_mms_26,lookahead1,lookahead2
1.347,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.350,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.357,,,,,,0x18d,"[3, 0, 131, 5, 0, 0, 2, 0]",,,,,,,,
1.360,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.365,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.369,,,,,,0x4,"[0, 16, 0, 0, 0, 0, 0, 127]",,,,,,,,
1.374,,,,,,0x4,"[0, 16, 0, 0, 0, 0, 0, 127]",,,,,,,,
1.378,,,,,,0x70c,[5],,,,,,,,
1.383,,,,,,0x18f,"[65, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
1.388,,,,,,0x701,[5],,,,,,,,
1.413,,,,,,0x18a,"[3, 0, 137, 5, 0, 0, 2, 0]",,,,,,,,
1.421,,,,,,0x18f,"[65, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
1.428,,,,,,0x18ef7300,"[208, 0, 255, 255, 255, 255, 255, 255]",,,,,,,,
1.438,,,,,,0x23a,"[242, 0, 0, 0, 16, 33, 0, 0]",,,,,,,,
1.461,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.470,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.476,,,,,,0x18d,"[3, 0, 131, 5, 0, 0, 2, 0]",,,,,,,,
1.486,,,,,,0x18e,"[4, 0, 0, 0, 0, 0, 0, 42]",,,,,,,,
1.490,,,,,,0x38e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.504,,,,,,0x18f,"[65, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
1.507,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.523,,,,,,0x60c,"[64, 4, 32, 6, 0, 0, 0, 0]",,,,,,,,
1.534,,,,,,0x58c,"[75, 4, 32, 6, 16, 0, 0, 0]",,,,,,,,
1.560,,,,,,0x18b,"[3, 0, 131, 5, 0, 0, 4, 0]",,,,,,,,
1.564,,,,,,0x18c,"[3, 0, 144, 5, 0, 0, 2, 0]",,,,,,,,
1.576,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.580,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.584,,,,,,0x701,[5],,,,,,,,
1.589,,,,,,0x18e,"[4, 0, 0, 0, 0, 0, 0, 42]",,,,,,,,
1.595,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.613,,,,,,0x23a,"[18, 0, 0, 0, 16, 33, 0, 0]",,,,,,,,
1.622,,,,-0.010,-0.020,,,,,,,,,,
1.623,,,,,,,,,,,,,,-0.078,-3.578
1.625,,,,,,0x70f,"[5, 153, 66, 27, 0, 49, 50, 51]",,,,,,,,
1.629,,,,,,0x60b,"[64, 4, 32, 6, 0, 0, 0, 0]",,,,,,,,
1.631,,,,,,,,,,,,,,-0.078,-3.578
1.640,,,,,,0x58b,"[75, 4, 32, 6, 20, 0, 0, 0]",,,,,,,,
1.648,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.650,,-0.000,-0.001,,,,,,,,,,,,
1.669,,,,,,0x80,[],,,,,,,,
1.673,,,,,,0x70d,[5],,,,,,,,
1.675,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.679,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.682,,,,,,0x18f,"[84, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
1.684,,,,,,0x18e,"[4, 0, 0, 0, 0, 0, 0, 42]",,,,,,,,
1.688,,,,,,0x38e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.691,,,,,,0x18b,"[3, 0, 131, 5, 0, 0, 4, 0]",,,,,,,,
1.693,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.696,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.699,,,,,,0x18c,"[3, 0, 144, 5, 0, 0, 1, 0]",,,,,,,,
1.703,,,,,,0x701,[5],,,,,,,,
1.710,,,,,,0x18ef7100,"[208, 0, 255, 255, 255, 255, 255, 255]",,,,,,,,
1.716,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.719,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.721,,,,,,0x20f,"[0, 143, 255, 48, 1]",,,,,,,,
1.724,,,,,,0x18d,"[3, 0, 131, 5, 0, 0, 1, 0]",,,,,,,,
1.726,,,,,,0x38e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.736,,,,,,0x23a,"[50, 0, 0, 0, 16, 33, 0, 0]",,,,,,,,
1.738,,,,,,0x80,[],,,,,,,,
1.740,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.744,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.751,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.762,,,,,,0x18b,"[3, 0, 131, 5, 0, 0, 4, 0]",,,,,,,,
1.765,,,,,,0x18e,"[4, 0, 0, 0, 0, 0, 0, 42]",,,,,,,,
1.771,,,,,,0x38e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.775,,,,,,0x18f,"[65, 247, 212, 236, 0, 0, 0, 0]",,,,,,,,
1.779,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.790,,,,,,0x701,[5],,,,,,,,
1.792,,,,,,0x18a,"[3, 0, 137, 5, 0, 0, 2, 0]",,,,,,,,
1.796,,,,,,0x18f,"[65, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
1.799,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.801,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.803,,,,,,0x20f,"[0, 143, 255, 48, 1]",,,,,,,,
1.805,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.807,,,,,,0x18f,"[93, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
1.808,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.814,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
