time_sec,a,b,s1,s2,s3,ds1,ds2,ds3,w1,w2,w3,i1,i2,i3,lookahead1,lookahead2,x,y,vx,vy,raw_can_id,raw_can_data,pdo_position_mm_22,pdo_speed_mms_22,pdo_position_mm_24,pdo_speed_mms_24,pdo_position_mm_26,pdo_speed_mms_26
1.161,,,,,,,,,,,,,,,,,,,,,0x18e,"[4, 0, 0, 0, 0, 0, 0, 41]",,,,,,
1.164,,,,,,,,,,,,,,,,,0.000,0.000,-0.008,0.004,,,,,,,,
1.175,,,,,,,,,,,,,,,,,,,,,0x38e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.179,,,,,,,,,,,,,,,,,,,,,0x70a,[5],,,,,,
1.182,,,,,,,,,,,,,,,,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.184,,,,,,,,,,,,,,,,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.186,,,,,,,,,,,,,,,,,,,,,0x18ef7000,"[208, 0, 255, 255, 255, 255, 255, 255]",,,,,,
1.188,,,,,,,,,,,,,,,,,,,,,0x18f,"[157, 247, 160, 236, 0, 0, 0, 0]",,,,,,
1.190,,,,,,,,,,,,,,,,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.192,,,,,,,,,,,,,,,,,,,,,0x701,[5],,,,,,
1.194,,,,,,,,,,,,,,,,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.197,,,,,,,,,,,,,,,,,,,,,0x23a,"[2, 0, 0, 0, 16, 33, 0, 0]",,,,,,
1.199,,,,,,,,,,,,,,,,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.201,,,,,,,,,,,,,,,,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.203,,,,,,,,,,,,,,,,,,,,,0x18d,"[3, 0, 128, 5, 0, 0, 0, 0]",,,,,,
1.206,,,,,,,,,,,,,,,,,,,,,0x18a,"[3, 0, 133, 5, 0, 0, 0, 0]",,,,,,
1.209,,,,,,,,,,,,,,,,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.216,,,,,,,,,,,,,,,,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.220,,,,,,,,,,,,,,,,,,,,,0x20f,"[0, 143, 255, 48, 1]",,,,,,
1.222,,,,,,,,,,,,,,,,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.224,,,,,,,,,,,,,,,,,,,,,0x38e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.227,,,,,,,,,,,,,,,,,,,,,0x23a,"[18, 0, 0, 0, 16, 33, 0, 0]",,,,,,
1.233,,,,,,,,,,,,,,,,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.238,,,,,,,,,,,,,,,,,,,,,0x18f,"[129, 247, 160, 236, 0, 0, 0, 0]",,,,,,
1.243,,,,,,,,,,,,,,,,,,,,,0x70b,[5],,,,,,
1.247,,,,,,,,,,,,,,,,,,,,,0x18f,"[129, 247, 160, 236, 0, 0, 0, 0]",,,,,,
1.250,,,,,,,,,,,,,,,,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.253,,,,,,,,,,,,,,,,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.255,,,,,,,,,,,,,,,,,,,,,0x18d,"[3, 0, 128, 5, 0, 0, 0, 0]",,,,,,
1.258,,,,,,,,,,,,,,,,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.260,,,,,,,,,,,,,,,,,,,,,0x23a,"[34, 0, 0, 0, 16, 33, 0, 0]",,,,,,
