time_sec,command,a,b,s1,s2,s3,ds1,ds2,ds3,w1,w2,w3,i1,i2,i3,lookahead1,lookahead2,x,y,vx,vy
2.413,,1.523,0.002,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.602,-0.898,-0.000,-0.002,-0.021,0.001
2.417,CLOSE_22,,,,,,,,,,,,,,,,,,,,
2.419,CLOSE_24,,,,,,,,,,,,,,,,,,,,
2.423,CLOSE_26,,,,,,,,,,,,,,,,,,,,
2.793,,-0.540,0.001,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.601,-0.899,-0.000,-0.001,0.003,0.005
2.794,CLOSE_22,,,,,,,,,,,,,,,,,,,,
2.799,CLOSE_24,,,,,,,,,,,,,,,,,,,,
2.801,CLOSE_26,,,,,,,,,,,,,,,,,,,,
2.826,,-0.540,0.001,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.601,-0.899,-0.000,-0.001,0.003,0.005
2.828,CLOSE_22,,,,,,,,,,,,,,,,,,,,
2.829,CLOSE_24,,,,,,,,,,,,,,,,,,,,
2.831,CLOSE_26,,,,,,,,,,,,,,,,,,,,
3.183,,-2.433,-0.001,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.599,-0.901,0.001,0.001,0.006,-0.007
3.184,CLOSE_22,,,,,,,,,,,,,,,,,,,,
3.186,CLOSE_24,,,,,,,,,,,,,,,,,,,,
3.187,CLOSE_26,,,,,,,,,,,,,,,,,,,,
3.212,,-2.433,-0.001,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.599,-0.901,0.001,0.001,0.006,-0.007
3.215,CLOSE_22,,,,,,,,,,,,,,,,,,,,
3.217,CLOSE_24,,,,,,,,,,,,,,,,,,,,
3.218,CLOSE_26,,,,,,,,,,,,,,,,,,,,
3.582,,1.709,-0.002,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.598,-0.902,-0.005,0.002,-0.036,-0.005
3.585,CLOSE_22,,,,,,,,,,,,,,,,,,,,
3.588,CLOSE_24,,,,,,,,,,,,,,,,,,,,
3.589,CLOSE_26,,,,,,,,,,,,,,,,,,,,
3.614,,1.709,-0.002,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.598,-0.902,-0.005,0.002,-0.036,-0.005
3.617,CLOSE_22,,,,,,,,,,,,,,,,,,,,
3.620,CLOSE_24,,,,,,,,,,,,,,,,,,,,
3.624,CLOSE_26,,,,,,,,,,,,,,,,,,,,
3.987,,2.974,-0.005,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.595,-0.905,-0.009,0.005,-0.053,-0.314
3.990,CLOSE_22,,,,,,,,,,,,,,,,,,,,
3.992,CLOSE_24,,,,,,,,,,,,,,,,,,,,
3.994,CLOSE_26,,,,,,,,,,,,,,,,,,,,
4.021,,2.974,-0.005,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.595,-0.905,-0.009,0.005,-0.053,-0.314
4.023,CLOSE_22,,,,,,,,,,,,,,,,,,,,
4.025,CLOSE_24,,,,,,,,,,,,,,,,,,,,
4.030,CLOSE_26,,,,,,,,,,,,,,,,,,,,
4.386,,3.040,0.106,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.706,-0.794,-0.012,-0.106,-0.076,-0.746
4.392,CLOSE_22,,,,,,,,,,,,,,,,,,,,
4.394,CLOSE_24,,,,,,,,,,,,,,,,,,,,
4.400,CLOSE_26,,,,,,,,,,,,,,,,,,,,
4.424,,3.040,0.106,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.706,-0.794,-0.012,-0.106,-0.076,-0.746
4.426,CLOSE_22,,,,,,,,,,,,,,,,,,,,
4.429,CLOSE_24,,,,,,,,,,,,,,,,,,,,
4.430,CLOSE_26,,,,,,,,,,,,,,,,,,,,
4.788,,3.095,0.385,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.985,-0.515,-0.021,-0.385,-0.040,-0.858
4.791,CLOSE_22,,,,,,,,,,,,,,,,,,,,
4.792,CLOSE_24,,,,,,,,,,,,,,,,,,,,
4.794,CLOSE_26,,,,,,,,,,,,,,,,,,,,
4.823,,3.095,0.385,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.985,-0.515,-0.021,-0.385,-0.040,-0.858
4.825,CLOSE_22,,,,,,,,,,,,,,,,,,,,
4.828,CLOSE_24,,,,,,,,,,,,,,,,,,,,
4.830,CLOSE_26,,,,,,,,,,,,,,,,,,,,
5.183,,3.132,0.713,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,4.313,-0.187,-0.029,-0.713,-0.007,-0.768
5.190,CLOSE_22,,,,,,,,,,,,,,,,,,,,
5.193,CLOSE_24,,,,,,,,,,,,,,,,,,,,
5.199,CLOSE_26,,,,,,,,,,,,,,,,,,,,
5.225,,3.132,0.713,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,4.313,-0.187,-0.029,-0.713,-0.007,-0.768
5.231,CLOSE_22,,,,,,,,,,,,,,,,,,,,
5.233,CLOSE_24,,,,,,,,,,,,,,,,,,,,
5.236,CLOSE_26,,,,,,,,,,,,,,,,,,,,
5.582,,3.108,1.027,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,4.627,0.127,-0.034,-1.027,-0.026,-0.770
5.584,CLOSE_22,,,,,,,,,,,,,,,,,,,,
5.586,CLOSE_24,,,,,,,,,,,,,,,,,,,,
5.587,CLOSE_26,,,,,,,,,,,,,,,,,,,,
5.613,,3.108,1.027,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,4.627,0.127,-0.034,-1.027,-0.026,-0.770
5.615,CLOSE_22,,,,,,,,,,,,,,,,,,,,
5.617,CLOSE_24,,,,,,,,,,,,,,,,,,,,
5.619,CLOSE_26,,,,,,,,,,,,,,,,,,,,
5.985,,3.136,1.354,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,4.954,0.454,-0.054,-1.354,-0.005,-0.856
5.989,CLOSE_22,,,,,,,,,,,,,,,,,,,,
5.991,CLOSE_24,,,,,,,,,,,,,,,,,,,,
5.993,CLOSE_26,,,,,,,,,,,,,,,,,,,,
6.021,,3.136,1.354,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,4.954,0.454,-0.054,-1.354,-0.005,-0.856
6.027,CLOSE_22,,,,,,,,,,,,,,,,,,,,
6.032,CLOSE_24,,,,,,,,,,,,,,,,,,,,
6.036,CLOSE_26,,,,,,,,,,,,,,,,,,,,
6.388,,-3.044,1.687,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,5.287,0.787,-0.031,-1.687,0.078,-0.793
6.391,CLOSE_22,,,,,,,,,,,,,,,,,,,,
6.394,CLOSE_24,,,,,,,,,,,,,,,,,,,,
6.400,CLOSE_26,,,,,,,,,,,,,,,,,,,,
6.425,,-3.044,1.687,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,5.287,0.787,-0.031,-1.687,0.078,-0.793
6.430,CLOSE_22,,,,,,,,,,,,,,,,,,,,
6.458,CLOSE_24,,,,,,,,,,,,,,,,,,,,
6.470,CLOSE_26,,,,,,,,,,,,,,,,,,,,
6.787,,3.037,2.003,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,5.603,1.103,-0.041,-2.003,-0.081,-0.771
6.789,CLOSE_22,,,,,,,,,,,,,,,,,,,,
6.791,CLOSE_24,,,,,,,,,,,,,,,,,,,,
6.792,CLOSE_26,,,,,,,,,,,,,,,,,,,,
6.816,,3.037,2.003,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,5.603,1.103,-0.041,-2.003,-0.081,-0.771
6.819,CLOSE_22,,,,,,,,,,,,,,,,,,,,
6.822,CLOSE_24,,,,,,,,,,,,,,,,,,,,
6.824,CLOSE_26,,,,,,,,,,,,,,,,,,,,
7.183,,-3.085,2.319,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,5.919,1.419,-0.026,-2.319,0.044,-0.778
7.186,CLOSE_22,,,,,,,,,,,,,,,,,,,,
7.188,CLOSE_24,,,,,,,,,,,,,,,,,,,,
7.189,CLOSE_26,,,,,,,,,,,,,,,,,,,,
7.214,,-3.085,2.319,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,5.919,1.419,-0.026,-2.319,0.044,-0.778
7.216,CLOSE_22,,,,,,,,,,,,,,,,,,,,
7.218,CLOSE_24,,,,,,,,,,,,,,,,,,,,
7.219,CLOSE_26,,,,,,,,,,,,,,,,,,,,
7.581,,-3.142,2.637,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,6.237,1.737,-0.010,-2.637,0.000,-0.793
7.583,CLOSE_22,,,,,,,,,,,,,,,,,,,,
7.584,CLOSE_24,,,,,,,,,,,,,,,,,,,,
7.586,CLOSE_26,,,,,,,,,,,,,,,,,,,,
7.611,,-3.142,2.637,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,6.237,1.737,-0.010,-2.637,0.000,-0.793
7.614,CLOSE_22,,,,,,,,,,,,,,,,,,,,
7.616,CLOSE_24,,,,,,,,,,,,,,,,,,,,
7.617,CLOSE_26,,,,,,,,,,,,,,,,,,,,
7.987,,-3.132,2.950,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,6.550,2.050,-0.010,-2.950,0.007,-0.761
7.991,CLOSE_22,,,,,,,,,,,,,,,,,,,,
7.994,CLOSE_24,,,,,,,,,,,,,,,,,,,,
7.996,CLOSE_26,,,,,,,,,,,,,,,,,,,,
8.024,,-3.132,2.950,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,6.550,2.050,-0.010,-2.950,0.007,-0.761
8.028,CLOSE_22,,,,,,,,,,,,,,,,,,,,
8.033,CLOSE_24,,,,,,,,,,,,,,,,,,,,
8.035,CLOSE_26,,,,,,,,,,,,,,,,,,,,
8.385,,-3.132,3.269,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,6.870,2.369,-0.014,-3.269,0.008,-0.816
8.388,CLOSE_22,,,,,,,,,,,,,,,,,,,,
8.391,CLOSE_24,,,,,,,,,,,,,,,,,,,,
8.393,CLOSE_26,,,,,,,,,,,,,,,,,,,,
8.420,,-3.132,3.269,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,6.870,2.369,-0.014,-3.269,0.008,-0.816
8.422,CLOSE_22,,,,,,,,,,,,,,,,,,,,
8.425,CLOSE_24,,,,,,,,,,,,,,,,,,,,
8.426,CLOSE_26,,,,,,,,,,,,,,,,,,,,
8.787,,-3.101,3.592,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,7.192,2.692,-0.004,-3.592,0.031,-0.764
8.790,CLOSE_22,,,,,,,,,,,,,,,,,,,,
8.791,CLOSE_24,,,,,,,,,,,,,,,,,,,,
8.793,CLOSE_26,,,,,,,,,,,,,,,,,,,,
8.819,,-3.101,3.592,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,7.192,2.692,-0.004,-3.592,0.031,-0.764
8.821,CLOSE_22,,,,,,,,,,,,,,,,,,,,
8.822,CLOSE_24,,,,,,,,,,,,,,,,,,,,
8.823,CLOSE_26,,,,,,,,,,,,,,,,,,,,
9.182,,3.128,3.903,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,7.503,3.003,0.005,-3.903,-0.010,-0.732
9.184,CLOSE_22,,,,,,,,,,,,,,,,,,,,
9.185,CLOSE_24,,,,,,,,,,,,,,,,,,,,
9.186,CLOSE_26,,,,,,,,,,,,,,,,,,,,
9.211,,3.128,3.903,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,7.503,3.003,0.005,-3.903,-0.010,-0.732
9.214,CLOSE_22,,,,,,,,,,,,,,,,,,,,
9.217,CLOSE_24,,,,,,,,,,,,,,,,,,,,
9.225,CLOSE_26,,,,,,,,,,,,,,,,,,,,
9.583,,-3.142,4.204,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,7.804,3.304,0.002,-4.204,0.000,-0.778
9.585,CLOSE_24,,,,,,,,,,,,,,,,,,,,
9.587,CLOSE_26,,,,,,,,,,,,,,,,,,,,
9.589,CLOSE_22,,,,,,,,,,,,,,,,,,,,
9.590,CLOSE_24,,,,,,,,,,,,,,,,,,,,
9.593,CLOSE_26,,,,,,,,,,,,,,,,,,,,
9.618,,-3.142,4.204,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,6.096,6.096,2,2,2,7.804,3.304,0.002,-4.204,0.000,-0.778
9.620,OPEN_24,,,,,,,,,,,,,,,,,,,,
9.628,CLOSE_22,,,,,,,,,,,,,,,,,,,,
9.631,CLOSE_24,,,,,,,,,,,,,,,,,,,,
9.635,CLOSE_26,,,,,,,,,,,,,,,,,,,,
9.988,,-3.142,4.510,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,9.144,6.096,2,3,2,8.110,3.610,0.001,-4.510,0.000,-0.785
9.991,CLOSE_22,,,,,,,,,,,,,,,,,,,,
9.993,CLOSE_24,,,,,,,,,,,,,,,,,,,,
9.995,CLOSE_26,,,,,,,,,,,,,,,,,,,,
10.024,,-3.142,4.510,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,9.144,6.096,2,3,2,8.110,3.610,0.001,-4.510,0.000,-0.785
10.029,CLOSE_22,,,,,,,,,,,,,,,,,,,,
10.031,CLOSE_24,,,,,,,,,,,,,,,,,,,,
10.034,CLOSE_26,,,,,,,,,,,,,,,,,,,,
10.385,,-3.126,4.822,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,9.144,6.096,2,3,2,8.422,3.922,0.011,-4.822,0.012,-0.772
10.387,CLOSE_22,,,,,,,,,,,,,,,,,,,,
10.388,CLOSE_24,,,,,,,,,,,,,,,,,,,,
10.390,CLOSE_26,,,,,,,,,,,,,,,,,,,,
10.415,,-3.126,4.822,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,9.144,6.096,2,3,2,8.422,3.922,0.011,-4.822,0.012,-0.772
10.417,CLOSE_22,,,,,,,,,,,,,,,,,,,,
10.419,CLOSE_24,,,,,,,,,,,,,,,,,,,,
10.420,CLOSE_26,,,,,,,,,,,,,,,,,,,,
10.787,,-3.112,5.129,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,9.144,6.096,2,3,2,8.729,4.229,0.016,-5.129,0.022,-0.751
10.791,CLOSE_22,,,,,,,,,,,,,,,,,,,,
10.793,CLOSE_24,,,,,,,,,,,,,,,,,,,,
10.795,CLOSE_26,,,,,,,,,,,,,,,,,,,,
10.823,,-3.112,5.129,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,9.144,6.096,2,3,2,8.729,4.229,0.016,-5.129,0.022,-0.751
10.825,CLOSE_22,,,,,,,,,,,,,,,,,,,,
10.827,CLOSE_24,,,,,,,,,,,,,,,,,,,,
10.829,CLOSE_26,,,,,,,,,,,,,,,,,,,,
11.187,,-3.122,5.438,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,9.144,6.096,2,3,2,9.038,4.538,0.021,-5.438,0.016,-0.803
11.192,CLOSE_22,,,,,,,,,,,,,,,,,,,,
11.195,CLOSE_24,,,,,,,,,,,,,,,,,,,,
11.198,CLOSE_26,,,,,,,,,,,,,,,,,,,,
11.223,,-3.122,5.438,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,9.144,6.096,2,3,2,9.038,4.538,0.021,-5.438,0.016,-0.803
11.225,CLOSE_22,,,,,,,,,,,,,,,,,,,,
11.229,CLOSE_24,,,,,,,,,,,,,,,,,,,,
11.231,CLOSE_26,,,,,,,,,,,,,,,,,,,,
11.583,,-3.139,5.757,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,9.144,6.096,2,3,2,9.357,4.857,0.028,-5.757,0.002,-0.778
11.587,OPEN_24,,,,,,,,,,,,,,,,,,,,
11.589,CLOSE_22,,,,,,,,,,,,,,,,,,,,
11.590,CLOSE_24,,,,,,,,,,,,,,,,,,,,
11.592,CLOSE_26,,,,,,,,,,,,,,,,,,,,
