time_sec,command,a,b,s1,s2,s3,ds1,ds2,ds3,w1,w2,w3,i1,i2,i3,lookahead1,lookahead2,x,y,vx,vy
0.037,NMT_START_ALL,,,,,,,,,,,,,,,,,,,,
0.139,SDO_SET_MODE_22,,,,,,,,,,,,,,,,,,,,
0.191,SDO_ENABLE_OP_22,,,,,,,,,,,,,,,,,,,,
0.243,SDO_SET_MODE_24,,,,,,,,,,,,,,,,,,,,
0.295,SDO_ENABLE_OP_24,,,,,,,,,,,,,,,,,,,,
0.349,SDO_SET_MODE_26,,,,,,,,,,,,,,,,,,,,
0.401,SDO_ENABLE_OP_26,,,,,,,,,,,,,,,,,,,,
0.453,INIT,,,,,,,,,,,,,,,,,,,,
0.555,INIT,,,,,,,,,,,,,,,,,,,,
0.657,INIT,,,,,,,,,,,,,,,,,,,,
0.759,INIT,,,,,,,,,,,,,,,,,,,,
0.861,INIT,,,,,,,,,,,,,,,,,,,,
0.963,INIT,,,,,,,,,,,,,,,,,,,,
1.065,INIT,,,,,,,,,,,,,,,,,,,,
1.167,INIT,,,,,,,,,,,,,,,,,,,,
1.269,INIT,,,,,,,,,,,,,,,,,,,,
1.590,OPEN_22,,,,,,,,,,,,,,,,,,,,
1.592,OPEN_24,,,,,,,,,,,,,,,,,,,,
1.594,OPEN_26,,,,,,,,,,,,,,,,,,,,
1.595,,0.965,-0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",0.000,0.000,0.000,0,0,0,3.600,-0.900,0.000,0.000,-0.013,0.009
1.597,OPEN_22,,,,,,,,,,,,,,,,,,,,
1.599,OPEN_24,,,,,,,,,,,,,,,,,,,,
1.600,OPEN_26,,,,,,,,,,,,,,,,,,,,
1.601,CLOSE_22,,,,,,,,,,,,,,,,,,,,
1.602,CLOSE_24,,,,,,,,,,,,,,,,,,,,
1.603,CLOSE_26,,,,,,,,,,,,,,,,,,,,
1.628,,0.965,-0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",3.048,3.048,3.048,1,1,1,3.600,-0.900,0.000,0.000,-0.013,0.009
1.630,OPEN_22,,,,,,,,,,,,,,,,,,,,
1.632,CLOSE_22,,,,,,,,,,,,,,,,,,,,
1.633,CLOSE_24,,,,,,,,,,,,,,,,,,,,
1.634,CLOSE_26,,,,,,,,,,,,,,,,,,,,
1.989,,0.785,-0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.600,-0.900,0.000,0.000,-0.006,0.006
1.993,CLOSE_22,,,,,,,,,,,,,,,,,,,,
1.996,CLOSE_24,,,,,,,,,,,,,,,,,,,,
1.999,CLOSE_26,,,,,,,,,,,,,,,,,,,,
2.028,,0.785,-0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.600,-0.900,0.000,0.000,-0.006,0.006
2.031,CLOSE_22,,,,,,,,,,,,,,,,,,,,
2.039,CLOSE_24,,,,,,,,,,,,,,,,,,,,
2.042,CLOSE_26,,,,,,,,,,,,,,,,,,,,
2.385,,1.523,0.002,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.602,-0.898,-0.000,-0.002,-0.021,0.001
2.386,CLOSE_22,,,,,,,,,,,,,,,,,,,,
2.387,CLOSE_24,,,,,,,,,,,,,,,,,,,,
2.388,CLOSE_26,,,,,,,,,,,,,,,,,,,,
