Timestamp,Command,Position_mm,Speed_mm/s
2025-05-05 20:56:12.044142,SDO,,
2025-05-05 20:56:12.244496,NMT Start,,
2025-05-05 20:56:12.444807,Clear Error,,
2025-05-05 20:56:12.645161,Run Out,,
2025-05-05 20:56:32.645573,Run In,,
2025-05-05 20:56:34.646569,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:34.649551,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:34.650248,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:34.651081,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:34.651653,PDO_FEEDBACK_20,2.5,18.1
2025-05-05 20:56:34.652874,PDO_FEEDBACK_20,8.1,24.0
2025-05-05 20:56:34.655471,PDO_FEEDBACK_20,14.0,24.2
2025-05-05 20:56:34.659272,PDO_FEEDBACK_20,19.5,21.8
2025-05-05 20:56:34.660062,PDO_FEEDBACK_20,25.1,21.3
2025-05-05 20:56:34.660715,PDO_FEEDBACK_20,30.4,20.4
2025-05-05 20:56:34.661381,PDO_FEEDBACK_20,35.5,20.7
2025-05-05 20:56:34.662016,PDO_FEEDBACK_20,40.8,20.0
2025-05-05 20:56:34.662624,PDO_FEEDBACK_20,46.2,20.3
2025-05-05 20:56:34.663191,PDO_FEEDBACK_20,51.5,20.3
2025-05-05 20:56:34.663744,PDO_FEEDBACK_20,56.6,20.5
2025-05-05 20:56:34.664414,PDO_FEEDBACK_20,61.9,20.9
2025-05-05 20:56:34.665028,PDO_FEEDBACK_20,67.0,20.8
2025-05-05 20:56:34.665546,PDO_FEEDBACK_20,72.3,21.2
2025-05-05 20:56:34.666192,PDO_FEEDBACK_20,77.6,21.0
2025-05-05 20:56:34.666665,PDO_FEEDBACK_20,83.0,22.5
2025-05-05 20:56:34.667246,PDO_FEEDBACK_20,88.0,21.5
2025-05-05 20:56:34.667697,PDO_FEEDBACK_20,93.4,22.8
2025-05-05 20:56:34.668285,PDO_FEEDBACK_20,98.4,21.1
2025-05-05 20:56:34.668726,PDO_FEEDBACK_20,103.8,22.6
2025-05-05 20:56:34.669240,PDO_FEEDBACK_20,109.1,21.1
2025-05-05 20:56:34.669771,PDO_FEEDBACK_20,114.2,21.6
2025-05-05 20:56:34.670296,PDO_FEEDBACK_20,119.5,21.2
2025-05-05 20:56:34.670842,PDO_FEEDBACK_20,124.8,21.0
2025-05-05 20:56:34.672823,PDO_FEEDBACK_20,129.9,20.8
2025-05-05 20:56:34.675987,PDO_FEEDBACK_20,135.2,21.1
2025-05-05 20:56:34.676822,PDO_FEEDBACK_20,140.5,20.4
2025-05-05 20:56:34.678269,PDO_FEEDBACK_20,145.6,20.6
2025-05-05 20:56:34.679195,PDO_FEEDBACK_20,151.0,21.5
2025-05-05 20:56:34.679797,PDO_FEEDBACK_20,156.0,20.4
2025-05-05 20:56:34.680374,PDO_FEEDBACK_20,161.4,21.4
2025-05-05 20:56:34.680928,PDO_FEEDBACK_20,166.7,20.1
2025-05-05 20:56:34.681561,PDO_FEEDBACK_20,171.8,21.1
2025-05-05 20:56:34.828601,PDO_FEEDBACK_20,259.0,21.4
2025-05-05 20:56:35.078506,PDO_FEEDBACK_20,253.7,21.2
2025-05-05 20:56:35.328453,PDO_FEEDBACK_20,248.4,21.3
2025-05-05 20:56:35.578370,PDO_FEEDBACK_20,243.3,21.2
2025-05-05 20:56:35.828220,PDO_FEEDBACK_20,238.0,21.1
2025-05-05 20:56:36.078117,PDO_FEEDBACK_20,232.6,21.9
2025-05-05 20:56:36.328123,PDO_FEEDBACK_20,227.6,20.9
2025-05-05 20:56:36.578033,PDO_FEEDBACK_20,222.2,21.9
2025-05-05 20:56:36.827912,PDO_FEEDBACK_20,217.2,20.7
2025-05-05 20:56:37.077815,PDO_FEEDBACK_20,211.8,21.7
2025-05-05 20:56:37.327734,PDO_FEEDBACK_20,206.5,20.2
2025-05-05 20:56:37.577555,PDO_FEEDBACK_20,201.4,21.4
2025-05-05 20:56:37.827553,PDO_FEEDBACK_20,196.1,20.3
2025-05-05 20:56:38.077444,PDO_FEEDBACK_20,191.0,21.4
2025-05-05 20:56:38.327343,PDO_FEEDBACK_20,185.7,20.1
2025-05-05 20:56:38.577248,PDO_FEEDBACK_20,180.4,20.2
2025-05-05 20:56:38.827308,PDO_FEEDBACK_20,175.3,20.0
2025-05-05 20:56:39.077044,PDO_FEEDBACK_20,170.0,20.1
2025-05-05 20:56:39.327284,PDO_FEEDBACK_20,164.7,20.1
2025-05-05 20:56:39.576865,PDO_FEEDBACK_20,159.6,20.3
2025-05-05 20:56:39.826780,PDO_FEEDBACK_20,154.2,21.6
2025-05-05 20:56:40.076800,PDO_FEEDBACK_20,149.2,20.4
2025-05-05 20:56:40.326627,PDO_FEEDBACK_20,143.8,21.6
2025-05-05 20:56:40.576589,PDO_FEEDBACK_20,138.5,20.6
2025-05-05 20:56:40.826420,PDO_FEEDBACK_20,133.4,21.6
2025-05-05 20:56:41.076390,PDO_FEEDBACK_20,128.1,20.8
2025-05-05 20:56:41.326227,PDO_FEEDBACK_20,122.8,21.5
2025-05-05 20:56:41.576108,PDO_FEEDBACK_20,117.7,21.0
2025-05-05 20:56:41.825977,PDO_FEEDBACK_20,112.4,21.7
2025-05-05 20:56:42.075962,PDO_FEEDBACK_20,107.1,21.3
2025-05-05 20:56:42.325848,PDO_FEEDBACK_20,102.0,22.1
2025-05-05 20:56:42.575727,PDO_FEEDBACK_20,96.7,21.3
2025-05-05 20:56:42.825611,PDO_FEEDBACK_20,91.3,21.7
2025-05-05 20:56:43.075568,PDO_FEEDBACK_20,86.3,21.2
2025-05-05 20:56:43.325589,PDO_FEEDBACK_20,80.9,21.6
2025-05-05 20:56:43.575397,PDO_FEEDBACK_20,75.6,21.2
2025-05-05 20:56:43.825306,PDO_FEEDBACK_20,70.5,21.3
2025-05-05 20:56:44.075215,PDO_FEEDBACK_20,65.2,20.9
2025-05-05 20:56:44.325143,PDO_FEEDBACK_20,59.9,20.6
2025-05-05 20:56:44.575115,PDO_FEEDBACK_20,54.8,20.7
2025-05-05 20:56:44.824893,PDO_FEEDBACK_20,49.5,20.5
2025-05-05 20:56:45.074748,PDO_FEEDBACK_20,44.1,21.3
2025-05-05 20:56:45.324739,PDO_FEEDBACK_20,39.1,20.0
2025-05-05 20:56:45.574651,PDO_FEEDBACK_20,33.7,21.5
2025-05-05 20:56:45.824675,PDO_FEEDBACK_20,28.7,20.2
2025-05-05 20:56:46.074504,PDO_FEEDBACK_20,23.3,21.3
2025-05-05 20:56:46.324391,PDO_FEEDBACK_20,18.3,20.0
2025-05-05 20:56:46.574233,PDO_FEEDBACK_20,12.9,21.3
2025-05-05 20:56:46.824125,PDO_FEEDBACK_20,7.6,20.0
2025-05-05 20:56:47.074219,PDO_FEEDBACK_20,2.5,20.6
2025-05-05 20:56:47.323980,PDO_FEEDBACK_20,0.0,10.2
2025-05-05 20:56:47.574272,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:47.823818,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:48.073753,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:48.323618,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:48.573580,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:48.823455,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:49.073407,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:49.323211,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:49.573131,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:49.823019,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:50.072948,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:50.322811,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:50.572748,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:50.822647,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:51.072627,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:51.322524,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:51.572469,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:51.822247,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:52.072198,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:52.322136,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:52.572036,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:52.821985,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:53.071892,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:53.321722,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:53.571637,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:53.821540,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:54.071402,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:54.321438,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 20:56:54.571251,PDO_FEEDBACK_20,0.0,0.0
