time_sec,command,a,b,s1,s2,s3,ds1,ds2,ds3,w1,w2,w3,i1,i2,i3,lookahead1,lookahead2,x,y,vx,vy
0.028,NMT_START_ALL,,,,,,,,,,,,,,,,,,,,
0.131,SDO_SET_MODE_22,,,,,,,,,,,,,,,,,,,,
0.183,SDO_ENABLE_OP_22,,,,,,,,,,,,,,,,,,,,
0.235,SDO_SET_MODE_24,,,,,,,,,,,,,,,,,,,,
0.289,SDO_ENABLE_OP_24,,,,,,,,,,,,,,,,,,,,
0.345,SDO_SET_MODE_26,,,,,,,,,,,,,,,,,,,,
0.397,SDO_ENABLE_OP_26,,,,,,,,,,,,,,,,,,,,
0.452,INIT,,,,,,,,,,,,,,,,,,,,
0.554,INIT,,,,,,,,,,,,,,,,,,,,
0.658,INIT,,,,,,,,,,,,,,,,,,,,
0.760,INIT,,,,,,,,,,,,,,,,,,,,
0.862,INIT,,,,,,,,,,,,,,,,,,,,
0.964,INIT,,,,,,,,,,,,,,,,,,,,
1.066,INIT,,,,,,,,,,,,,,,,,,,,
1.170,INIT,,,,,,,,,,,,,,,,,,,,
1.272,INIT,,,,,,,,,,,,,,,,,,,,
1.542,CLOSE_22,,,,,,,,,,,,,,,,,,,,
1.544,CLOSE_24,,,,,,,,,,,,,,,,,,,,
1.546,CLOSE_26,,,,,,,,,,,,,,,,,,,,
1.548,OPEN_22,,,,,,,,,,,,,,,,,,,,
1.550,OPEN_24,,,,,,,,,,,,,,,,,,,,
1.552,OPEN_26,,,,,,,,,,,,,,,,,,,,
1.552,,0.412,-0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",0.000,0.000,0.000,0,0,0,3.600,-0.900,0.000,0.000,-0.007,0.016
1.560,OPEN_22,,,,,,,,,,,,,,,,,,,,
1.563,OPEN_24,,,,,,,,,,,,,,,,,,,,
1.565,OPEN_26,,,,,,,,,,,,,,,,,,,,
1.567,CLOSE_22,,,,,,,,,,,,,,,,,,,,
1.570,CLOSE_24,,,,,,,,,,,,,,,,,,,,
1.582,CLOSE_26,,,,,,,,,,,,,,,,,,,,
1.607,,0.412,-0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",3.048,3.048,3.048,1,1,1,3.600,-0.900,0.000,0.000,-0.007,0.016
1.613,OPEN_22,,,,,,,,,,,,,,,,,,,,
1.626,CLOSE_24,,,,,,,,,,,,,,,,,,,,
1.637,CLOSE_26,,,,,,,,,,,,,,,,,,,,
1.647,CLOSE_22,,,,,,,,,,,,,,,,,,,,
1.650,CLOSE_24,,,,,,,,,,,,,,,,,,,,
1.652,CLOSE_26,,,,,,,,,,,,,,,,,,,,
1.934,,2.456,-0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.600,-0.900,0.000,0.000,-0.009,-0.011
1.951,CLOSE_22,,,,,,,,,,,,,,,,,,,,
1.954,CLOSE_24,,,,,,,,,,,,,,,,,,,,
1.963,CLOSE_26,,,,,,,,,,,,,,,,,,,,
1.965,CLOSE_22,,,,,,,,,,,,,,,,,,,,
1.967,CLOSE_24,,,,,,,,,,,,,,,,,,,,
1.968,CLOSE_26,,,,,,,,,,,,,,,,,,,,
1.996,,2.456,-0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.600,-0.900,0.000,0.000,-0.009,-0.011
1.999,CLOSE_22,,,,,,,,,,,,,,,,,,,,
2.001,CLOSE_24,,,,,,,,,,,,,,,,,,,,
2.005,CLOSE_26,,,,,,,,,,,,,,,,,,,,
2.010,CLOSE_22,,,,,,,,,,,,,,,,,,,,
2.013,CLOSE_24,,,,,,,,,,,,,,,,,,,,
2.014,CLOSE_26,,,,,,,,,,,,,,,,,,,,
2.323,,-2.489,0.002,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.602,-0.898,-0.001,-0.002,0.013,-0.017
2.326,CLOSE_22,,,,,,,,,,,,,,,,,,,,
2.331,CLOSE_24,,,,,,,,,,,,,,,,,,,,
2.333,CLOSE_26,,,,,,,,,,,,,,,,,,,,
2.337,CLOSE_22,,,,,,,,,,,,,,,,,,,,
2.339,CLOSE_24,,,,,,,,,,,,,,,,,,,,
2.342,CLOSE_26,,,,,,,,,,,,,,,,,,,,
