time_sec,a,b,s1,s2,s3,ds1,ds2,ds3,w1,w2,w3,i1,i2,i3,lookahead1,lookahead2,x,y,vx,vy
0.030,,,,,,,,,,,,,,,,,,,,
0.132,,,,,,,,,,,,,,,,,,,,
0.234,,,,,,,,,,,,,,,,,,,,
0.338,,,,,,,,,,,,,,,,,,,,
0.440,,,,,,,,,,,,,,,,,,,,
0.543,,,,,,,,,,,,,,,,,,,,
0.646,,,,,,,,,,,,,,,,,,,,
0.748,,,,,,,,,,,,,,,,,,,,
0.850,,,,,,,,,,,,,,,,,,,,
1.069,,,,,,,,,,,,,,,,,,,,
1.072,,,,,,,,,,,,,,,,,,,,
1.077,,,,,,,,,,,,,,,,,,,,
1.080,,,,,,,,,,,,,,,,,,,,
1.084,,,,,,,,,,,,,,,,,,,,
1.086,,,,,,,,,,,,,,,,,,,,
1.095,1.612,-0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",0.000,0.000,0.000,0,0,0,3.600,-0.900,0.000,0.000,-0.024,-0.001
1.097,,,,,,,,,,,,,,,,,,,,
1.100,,,,,,,,,,,,,,,,,,,,
1.101,,,,,,,,,,,,,,,,,,,,
1.104,,,,,,,,,,,,,,,,,,,,
1.105,,,,,,,,,,,,,,,,,,,,
1.106,,,,,,,,,,,,,,,,,,,,
1.131,1.612,-0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",3.048,3.048,3.048,1,1,1,3.600,-0.900,0.000,0.000,-0.024,-0.001
1.133,,,,,,,,,,,,,,,,,,,,
1.134,,,,,,,,,,,,,,,,,,,,
1.135,,,,,,,,,,,,,,,,,,,,
1.136,,,,,,,,,,,,,,,,,,,,
1.138,,,,,,,,,,,,,,,,,,,,
1.139,,,,,,,,,,,,,,,,,,,,
1.450,2.356,-0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.600,-0.900,0.000,0.000,-0.003,-0.003
1.452,,,,,,,,,,,,,,,,,,,,
1.453,,,,,,,,,,,,,,,,,,,,
1.454,,,,,,,,,,,,,,,,,,,,
1.456,,,,,,,,,,,,,,,,,,,,
1.457,,,,,,,,,,,,,,,,,,,,
1.459,,,,,,,,,,,,,,,,,,,,
1.485,2.356,-0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.600,-0.900,0.000,0.000,-0.003,-0.003
1.488,,,,,,,,,,,,,,,,,,,,
1.491,,,,,,,,,,,,,,,,,,,,
1.493,,,,,,,,,,,,,,,,,,,,
1.495,,,,,,,,,,,,,,,,,,,,
1.498,,,,,,,,,,,,,,,,,,,,
1.500,,,,,,,,,,,,,,,,,,,,
1.849,1.862,0.002,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.602,-0.898,-0.001,-0.002,-0.010,-0.003
1.852,,,,,,,,,,,,,,,,,,,,
1.854,,,,,,,,,,,,,,,,,,,,
1.856,,,,,,,,,,,,,,,,,,,,
1.857,,,,,,,,,,,,,,,,,,,,
1.859,,,,,,,,,,,,,,,,,,,,
1.863,,,,,,,,,,,,,,,,,,,,
1.888,1.862,0.002,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.602,-0.898,-0.001,-0.002,-0.010,-0.003
1.890,,,,,,,,,,,,,,,,,,,,
1.894,,,,,,,,,,,,,,,,,,,,
1.897,,,,,,,,,,,,,,,,,,,,
1.900,,,,,,,,,,,,,,,,,,,,
1.903,,,,,,,,,,,,,,,,,,,,
1.906,,,,,,,,,,,,,,,,,,,,
2.255,0.197,0.001,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.601,-0.899,-0.003,-0.001,-0.001,0.005
2.258,,,,,,,,,,,,,,,,,,,,
2.260,,,,,,,,,,,,,,,,,,,,
2.265,,,,,,,,,,,,,,,,,,,,
2.267,,,,,,,,,,,,,,,,,,,,
2.269,,,,,,,,,,,,,,,,,,,,
2.270,,,,,,,,,,,,,,,,,,,,
2.294,0.197,0.001,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.601,-0.899,-0.003,-0.001,-0.001,0.005
2.297,,,,,,,,,,,,,,,,,,,,
2.298,,,,,,,,,,,,,,,,,,,,
2.299,,,,,,,,,,,,,,,,,,,,
2.300,,,,,,,,,,,,,,,,,,,,
2.303,,,,,,,,,,,,,,,,,,,,
2.306,,,,,,,,,,,,,,,,,,,,
2.654,-0.197,-0.007,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.593,-0.907,0.001,0.007,0.001,0.005
2.659,,,,,,,,,,,,,,,,,,,,
2.665,,,,,,,,,,,,,,,,,,,,
2.669,,,,,,,,,,,,,,,,,,,,
2.670,,,,,,,,,,,,,,,,,,,,
2.671,,,,,,,,,,,,,,,,,,,,
2.673,,,,,,,,,,,,,,,,,,,,
